ID,TITLE,PRICE,IMAGE
1,JACQUARD TANK TOP,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
2,SOFT TEXTURED BERMUDA SHORTS,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
3,SLOGAN PRINT T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
4,SLOGAN PRINT T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
5,JACQUARD TANK TOP,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
6,SOFT TEXTURED BERMUDA SHORTS,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
7,SLOGAN PRINT T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
8,TECHNICAL CAP,17.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
9,BASIC CAP,15.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
10,TECHNICAL CAP,17.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
11,BASIC CAP,15.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
12,BASIC CAP,15.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
13,TECHNICAL CAP,17.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
14,BAGGY FIT JEANS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
15,TEXTURED POLO SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
16,SOFT TEXTURED BERMUDA SHORTS,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
17,TEXTURED T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
18,TEXTURED T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
19,TEXTURED T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
20,SOFT TEXTURED BERMUDA SHORTS,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
21,TEXTURED POLO SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
22,LYOCELL BLEND KNIT POLO SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
23,TEXTURED KNIT T-SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
24,TEXTURED BERMUDA SHORTS WITH LABEL,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
25,TEXTURED BERMUDA SHORTS WITH LABEL,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
26,TEXTURED T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
